Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2016010000299,1,1,1,1,27,6,3,0,0,0,0,0,4,1,1
2016010000300,2,1,1,1,30,6,3,0,0,0,0,0,1,1,5
2016010000302,1,1,1,1,23,5,3,0,0,0,0,0,9,1,2
2016010000302,2,2,1,1,54,8,3,0,0,0,0,0,9,1,6
2016010000302,3,3,1,2,65,9,3,0,0,0,0,0,9,1,6
2016010000303,2,1,1,1,33,6,2,0,0,0,0,0,1,1,1
2016010000304,2,1,1,1,22,5,3,0,0,0,0,0,3,1,-1
2016010000305,1,1,1,1,23,5,3,0,0,0,0,0,4,1,8
2016010000306,1,1,2,1,25,5,3,0,0,2,0,0,9,1,6
2016010000306,1,2,2,1,30,6,3,0,0,1,0,0,9,1,6
2016010000307,1,1,1,1,64,9,3,0,0,0,0,0,9,1,3
2016010000308,1,1,3,2,9,2,3,5,2,0,0,2,0,1,2
2016010000310,1,1,1,1,35,6,3,0,0,0,0,0,9,1,4
2016010000311,2,1,3,1,27,6,3,9,7,0,0,2,0,1,4
2016010000316,1,1,1,1,35,6,2,0,0,0,0,0,4,1,7
2016010000316,2,2,1,2,86,11,3,0,0,0,0,0,9,1,8
2016010000319,1,1,1,1,49,8,3,0,0,0,0,0,5,1,2
2016010000320,1,1,1,1,23,5,3,0,0,0,0,0,9,1,2
2016010000323,1,1,1,1,36,7,3,0,0,0,0,0,9,1,10
2016010000323,2,2,1,1,29,6,3,0,0,0,0,0,19,1,9
2016010000323,2,3,2,2,23,5,3,0,0,0,0,0,19,1,9
2016010000325,1,1,2,2,71,10,3,0,0,1,0,0,9,1,-1
2016010000327,2,1,1,1,20,4,3,0,0,0,0,0,1,1,9
2016010000331,1,1,1,2,23,5,3,0,0,0,0,0,9,1,1
2016010000331,1,2,2,2,15,3,3,0,0,1,0,0,9,1,2
2016010000331,1,3,2,2,3,1,3,0,0,2,0,0,9,1,1
2016010000332,2,1,1,1,33,6,3,0,0,0,0,0,9,1,-1
2016010000333,1,1,1,1,23,5,3,0,0,0,0,0,3,1,3
2016010000334,1,1,1,1,46,8,3,0,0,0,0,0,3,1,8
2016010000337,1,1,1,1,74,10,3,0,0,0,0,0,9,1,8
2016010000339,1,1,2,2,51,8,3,0,0,0,3,0,11,1,2
2016010000339,1,2,2,2,55,8,3,0,0,0,3,0,11,1,3
2016010000339,1,3,2,2,50,8,3,0,0,0,3,0,11,1,2
2016010000339,1,4,2,2,42,7,3,0,0,0,3,0,11,1,2
2016010000340,1,1,3,1,42,7,3,4,4,0,0,2,0,-1,-1
2016010000341,1,1,1,1,25,5,3,0,0,0,0,0,9,1,4
2016010000343,2,1,1,1,30,6,3,0,0,0,0,0,9,1,3
2016010000343,3,2,1,2,38,7,3,0,0,0,0,0,9,1,3
2016010000344,2,1,1,1,25,5,3,0,0,0,0,0,5,1,2
2016010000345,2,1,1,1,25,5,2,0,0,0,0,0,5,1,6
2016010000347,1,1,1,1,21,5,3,0,0,0,0,0,4,1,3
2016010000348,1,1,3,1,20,4,3,9,5,0,0,2,0,1,6
2016010000349,1,1,1,1,33,6,3,0,0,0,0,0,3,1,-1
